,Title,Year,Genre,Rating,Votes
211,Me and My Umbrella,2010,"Family,Fantasy",6.1,111
212,Night of the Templar,2013,"Horror,Mystery",5.9,5392
213,What's Your Number?,2011,"Comedy,Romance",6.1,67922
214,California Indian,2011,Drama,6.0,20
215,King of the Avenue,2010,"Drama,Fantasy,Thriller",4.0,449
216,Samsara,2011,"Documentary,Music",8.5,29725
217,Man of Steel,2013,"Action,Adventure,Sci-Fi",7.1,647288
218,Jersey Justice,2014,"Action,Thriller",7.2,115
219,Kill,2011,"Comedy,Horror,Thriller",4.5,95
220,The Chosen Heaven,2010,"Drama,Thriller",6.3,19
221,Cell,2016,"Action,Drama,Horror",4.3,21968
222,The Rain Fairy,2010,"Family,Fantasy",5.4,70
223,The Illusionist,2010,"Animation,Drama",7.5,31734
224,Night Catches Us,2010,"Drama,Romance",6.3,1390
225,Drive,2011,"Crime,Drama",7.8,521495
226,Kid Cannabis,2014,"Biography,Comedy,Crime",6.4,8924
227,Santorini Blue,2013,"Comedy,Drama",4.6,124
228,War of the Dead,2011,"Action,Adventure,Horror",4.1,2378
229,The Wolfman,2010,"Drama,Fantasy,Horror",5.8,97873
230,Escalade,2011,Thriller,4.5,43
231,Irreversi,2010,Thriller,5.6,85
232,The Attack,2012,"Drama,Mystery,War",7.1,3733
233,The Boxtrolls,2014,"Adventure,Animation,Comedy",6.8,50763
234,The Man Who Knew Infinity,2015,"Biography,Drama",7.2,43575
235,The Incredible Burt Wonderstone,2013,"Adventure,Comedy,Fantasy",5.9,67549
236,Dallas Buyers Club,2013,"Biography,Drama",8.0,402462
237,Elliot Loves,2012,"Comedy,Romance",6.2,463
238,The First Grader,2010,"Biography,Drama,Romance",7.5,4052
239,Jack Reacher,2012,"Action,Crime,Thriller",7.0,284547
240,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,109078
241,Miles Ahead,2015,"Biography,Drama,Music",6.4,8498
242,The Yellow Wallpaper,2012,Thriller,6.6,1695
243,Wilde Salomé,2011,"Documentary,Drama",6.8,748
244,Scary Movie 5,2013,Comedy,3.5,60139
245,13,2010,"Drama,Thriller",6.1,38418
246,The Guardians,2010,"Comedy,Family",7.8,68
247,Ironmen,2010,"Biography,Drama",4.3,6
248,Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,256176
249,The Dirt,2019,"Biography,Comedy,Drama",7.0,26876
250,Nemesis,2010,Drama,6.6,67
251,Thor,2011,"Action,Adventure,Fantasy",7.0,683264
